sample_id,text,true_label,llama_pred,mistral_pred
40,എത്ര കേട്ടാലും മതി വരാത്ത സോങ്,Positive,Negative,Positive
41,ആരും സഞ്ചരിക്കാത്ത വഴികളിലൂടെ നിവിൻ സഞ്ചരിച്ചു തുടങ്ങി,Positive,Positive,Mixed_feelings
42,kanunnathin  anusarich veendum veendum kanan thonnunu,Positive,Negative,Negative
43,Super  കേട്ടാലും കേട്ടാലും മടുക്കാത്ത song,Positive,Positive,Positive
44,Onnum parayanilla... ഒരു pidiyum kittunnilla... waiting for.... pathinettam പടി..... Rockkk Mammookka .,Positive,Positive,Negative
45,മലയാള സിനിമക്ക് എന്നും ശക്തമായ സ്ത്രീകഥാപാത്രങ്ങൾ തന്ന മഞ്‍ജു ചേച്ചി മറ്റൊരു ശക്തമായ കഥാപാത്രവുമായി വീണ്ടും,Positive,Positive,Positive
46,ഒരു ശക്തമായ കപാത്രം  ജോജു കൊട് കൈയ്യടി......,Positive,Positive,Positive
47,Kure  നാളുകളായി ഒരു സാധാരണ പടം ആഗ്രഹിക്കുന്നു. അത് ഇതിലുണ്ടാവണമെന്ന് പ്രതീക്ഷിക്കുന്നു,Positive,Positive,Mixed_feelings
48,"ഈ പാട്ടിനു എങ്ങനെ ഡിസ്‌ലൈക്ക് അടിക്കാൻ തോന്നി?? ആ സ്റ്റേജിൽ ഉള്ളവരിൽ ഏറ്റവം നന്നായി കളിച്ചതു ലാലേട്ടൻ ആണെന്ന് ആർക്കൊകെ തോന്നി, സ്റ്റീഫൻ നെടുമ്പള്ളി തന്നെ ആണോ ith? ഓണം ഇട്ടിച്ചായൻ കൊണ്ടുപോകും, ഉറപ്പ്.",Positive,Positive,Mixed_feelings
49,ഇപ്പോഴും വന്നു കണ്ട് രോമാഞ്ചിഫിക്കേഷൻ ആവുന്നവർ ഇവിടെ ലൈക്‌ അടി...,Positive,Positive,Positive
50,പടം ഇറങ്ങിയിട്ട് 2 മാസം ആയിട്ടും ഇപ്പോഴും കേൾക്കുന്നു,Positive,Positive,Positive
51,അയ്യേ.... ഇത് പണ്ടേ ഇറങ്ങിയ പടം അല്ലെ വല്യേട്ടൻ,Negative,Negative,Negative
52,Thelunku nadan ..bhaala krishnayeyum... Thal nadan vijaya kaandhineyum ..naanipichu...mammuunny...,Negative,Negative,Positive
53,Malayalathil nalla nadimar illanjittano eee ammayiyea konduvanne... nthu bore aanu avarude abhinayam porathenu enthu oooola lukkanu... sheeeeeaaaaaa valare bore aayippoyi.. ee ammayi ivide kanillayirikkum ini...🤔🤔🤨🤨,Negative,Negative,Negative
54,Ethilum betham gopi sunderaa kayamkulamkochunni enna movie songs nallathayirunnu,Negative,Positive,Positive
55,ഈ പാട്ട് rasallyaa.. അടുത്തത് നോക്കാം.. MJ ser...,Negative,Mixed_feelings,Positive
56,Chettatharam kanich... App upayogich dislike adichavarod,Negative,Negative,Negative
57,കുന്നംകുളം ഒഴിച്ച് ബാക്കി എല്ലാ നാട്ടിലെയും സ്ലാങ് ഇയാൾ ഇതിൽ പറയുന്നുണ്ട്. ഈ പൊട്ടൻ എത്ര നാൾ ഇങ്ങനെ തള്ളി പിടിച്ചു നിൽക്കും.,Negative,Negative,Negative
58,8 നിലയിൽ പൊട്ടും എന്ന് ഉറപ്പ് ആയി,Negative,Negative,Mixed_feelings
59,Itinum dislike adikkan aalundallo...nallatine angeegarikkan padikk... duranthangal...,Negative,Negative,Negative
60,Apo athum potti .. aaaa pratheekshayum poyi,Negative,Negative,Negative
61,വടക്കൻ വീരഗാഥയിലെ പാട്ടു പോലെ പ്രതീക്ഷിച്ചു - but  ഇത് ലോക്കൽ പാട്ടും സൂപ്പർ Scenes ഉം,Negative,Mixed_feelings,Mixed_feelings
62,Aayea.... ithu oru unda aavolo.... boar ....,Negative,Negative,Negative
63,"മമ്മുക്കയെ കാണാൻ വന്നതാ, ഊള പാട്ട്, തട്ടി കൂട്ടി പാട്ട് അത്രയേ ഉള്ളു",Negative,Negative,Negative
64,സീരിയൽ കാണുന്ന പോലെ ഉണ്ട് .. സിനിമ അങ്ങനെ ആവാതിരിക്കാൻ പ്രതീക്ഷിക്കുന്നു,Negative,Negative,Mixed_feelings
65,"കിളിച്ചുണ്ടൻ മാമ്പഴം റീലോഡഡ് .  മലയാളം സിനിമകൾ മാത്രം കാണുന്നവർക്ക് ,അന്തം വിട്ടിരിക്കാം .പ്രിയദർശനല്ലെ ,ഒരു വിധപ്പെട്ട എല്ലാ ഹോളിവുഡ് സിനിമയിൽ നിന്നും വിഷ്വൽസ് ചോർത്തിയിട്ടുണ്ടാകും .",Negative,Negative,Negative
66,paandi raaja .Annan thanbi.pandi padam nirthi Lucifer movie  pole maaran sramik,Negative,Negative,Mixed_feelings
67,Pottum  bengaali look  IDGAF mon,Negative,Negative,Positive
68,ഇവളുടെ കയ്യിൽ ഒക്കെ ആരാ സിനിമ കൊടുക്കുന്നത് അ ഹൗ ഓൾഡ് ആർ യു അല്ലാതെ ഏത് സിനിമയ വിജയിച്ചത്,Negative,Negative,Negative
69,ITHU ENTHONNU DANCE AANU??MAMMOOKKAKKU AAMAVADHAM PIDICHO??DAYAVU CHEYTHU MAMMOOKKAYODU INI MELAL DANCE KALICHEKKALLE ENNU PARAYU.,Negative,Negative,Negative
70,ഉണ്ണി മുകുന്ദൻ മസിൽമാൻ മാത്രം ആയി മാറി,Negative,Negative,Mixed_feelings
71,Enthu paatu aanu ethu...undakiya are sammadhikanam,Negative,Negative,Negative
72,ഒടിയൻ സിനിമക്ക് ശേഷം ലാലേട്ടന്റെ bodylanguage ഒരുപാട് മാറ്റം വന്നു . പഴയ ലാലേട്ടനെ കാണാൻ സാധിക്കുന്നില്ല.,Negative,Negative,Mixed_feelings
73,Nalla kure trailer scene padathil kandilla ellam cut chythu mudichu kalanju,Negative,Negative,Negative
74,ഇതുവരെ 2.1 k പൂജപ്പുര മച്ചാൻസ് ടീസർ കണ്ടു  .. enjoy..Enjoy..,Negative,Positive,Positive
75,സത്യം പറഞ്ഞ ട്രയ്ലർ anik eztam ആയില്ല,Negative,Negative,Negative
76,"poda thayolikala ninte oka ammada mech ,",Negative,Negative,Negative
77,"എന്റെ അലക്കിയിട്ട പുതിയ ഷഡ്ഢി  കാണുന്നില്ല,അപ്പോളാണവളുടെ ഒരു മൂക്കുത്തി.",Negative,Negative,Negative
78,Title il Suraj ettante peru vekkaathath moshaayipoyi..,Negative,Negative,Negative
79,Cinema muyuvan manassilayi ini padam kaanano,Negative,Negative,Positive
80,Dislike adicha mamookante  fanse odu myrukale,Negative,Negative,Negative
81,മൂഡ് പോയി...മൂഡ് പോയി...തുടക്കം തന്നെ ജോബി ജോർജിന്റെ പേര് കണ്ടപ്പോ മൊത്തം മൂഡ് പോയി. പിന്നെ ഇക്കാടെ പെർഫോമൻസ് കണ്ടിരുന്നു പോയി..,Mixed_feelings,Negative,Negative
82,ഒരപേക്ഷയുണ്ട് പടത്തിൽ  ഞങ്ങടെ slang dialogues ഓവറാക്കി  ചളമാക്കരുത്..അത്രേയുള്ളൂ...  ജോഷിയേട്ടൻ പൊളിക്ക്,Mixed_feelings,Mixed_feelings,Negative
83,bgm  kettit kgf pole undallo,Mixed_feelings,Negative,Positive
84,Trailer kanttitt pulimurukantteil mamooty afinayichathupole thoni,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Positive
85,"Pavan shane, ennanavo ee typical same roll il ninn onn mari kitta,  Ellom ore type  Very talented but....",Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Mixed_feelings
86,Trailer വെറുതെ വളരെ നന്നാക്കിയാൽ മാമാങ്കം പോലിരിക്കും... എന്തിനാ വെറുതെ,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Negative
87,Dialogue presentation pora bakki ellam kollam,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Positive
88,Avasanam Rajadhiraja yile tone pole thonni,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Negative
89,Mammooka looks badass but editing shokam,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Mixed_feelings
90,Onnekil adutha pulimurugan alel adutha odiyan,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Negative
91,ടീസറും ട്രയ്ലറും വല്യ ഓളമൊന്നും തോന്നുന്നില്ല...നല്ല പടമാകട്ടെ എന്ന് പ്രതീക്ഷിക്കുന്നു.,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Mixed_feelings
92,Luciferum ayite kurachu samyamille ee trailerinnu,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Mixed_feelings
93,"ചെറിയൊരു തെലുഗ് ഫിലിം അനസൂയ  ടച് ഉള്ളത് പോലെ ഫീൽ ആകുന്നു,  കോപ്പി ആയിരിക്കുമോ?",Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Mixed_feelings
94,ethentha lalettan thanneyano dout akunnu,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Negative
95,അഭിനയം ലാൽ ഏട്ടൻ പക്ഷെ ഈ ഡയലോഗ് മമ്മുക്കയുടെ കൈയിൽ കിട്ടിയാൽ പൊളിക്കും,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Mixed_feelings
96,BG Music nammude CIA yude BGM pole undalo 🤔,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Mixed_feelings
97,Eth pokirirajayo pulimurakano atho lucifero ellam mix cheythittundello koode rajani dialogue um,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Mixed_feelings
98,Ithil mammookakk role undo. Motham aa pilleraya kaniche mammokka mass,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Positive
99,Ith mechinde vela kallayand irinaa madhii.. kand ariyam..,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Negative
100,Maargham Kali nalla bornd tttto Baaaakkki kollllaaam,Mixed_feelings,ERROR: Error code: 429 - {'error': {'message': 'Rate limi,Positive
