sample_id,text,true_label,malayalam_density,llama33_pred,llama4_pred,gemma_pred,qwen3_pred,mistral_pred,gemini_pred
51,50 സെക്കന്റ് മുതല്‍ ഉള്ള ഡയലോഗ് ഇനി വണ്ടി ഭ്രാന്തന്‍മാരുടെ സ്റ്റാറ്റസായിരിക്കും,Positive,0.9436619718309859,Negative,Positive,INVALID,Mixed_feelings,INVALID,INVALID
52,#unniyettan_ishtam Unniyettaaa kidu Alla kikidu Powlichu All the best unniyettaaa,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
53,Ennaaa Release Enn Parayaamo.. Katta Waiting Aaaaaa,Positive,0.0,Negative,Positive,INVALID,INVALID,INVALID,INVALID
54,ഇത്പോലെ ഒരു martial art പടം മലയാളത്തിൽ ഇന്ന് വരെ ഇറങ്ങിയിട്ടില്ല എന്നാണ് കരുതുന്നത്,Positive,0.863013698630137,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
55,4 Music team thakarkkaanallo... Kollaaam ... Kidukkatte...🤟,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
56,ഇത് ചരിത്രം ആകും എന്ന് ഉറപ്പുള്ളവർ ഇവിടെ വാ,Positive,1.0,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
57,അജയ് വാസുദേവ്       * രാജാധിരാജ      * മാസ്റ്റർപീസ് രണ്ടും  ALL TIME BLOCKBUSTERS    ഇനി ഷൈലോക്കിന്റെ വമ്പൻ ഹിറ്റിനായി കാത്തിരിക്കുന്നു    ഇതിനോട്  മുട്ടാൻ BIG BROTHER -ന് പറ്റുമോ എന്ന് തോന്നണില്ല ...,Positive,0.7784810126582279,Positive,Positive,INVALID,INVALID,INVALID,INVALID
58,Achane cinemakkare othukke kalangathanenkilum makane arkkum othukkan kazheyella.,Positive,0.0,Negative,Negative,INVALID,Mixed_feelings,INVALID,INVALID
59,Ettan adipoli    Ruvais dileepettaaaaaaaq,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
60,kure nalukalkku sesham eanikoru film kaanan thonnunnu ithu kandapol,Positive,0.0,Negative,Negative,INVALID,Mixed_feelings,INVALID,INVALID
61,Padam vere level aaavum.... Mammulaaaal fanz,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
62,Build up koduth niraasapedutharuth....super hit aavaanam,Positive,0.0,Mixed_feelings,Positive,INVALID,Mixed_feelings,INVALID,INVALID
63,Ikka ikka....ikka ikka ikka ....ikka ikka ikka ikka....ente ponnu ikka....marikilla ningale njn marikuvolam...,Positive,0.0,Mixed_feelings,Negative,INVALID,INVALID,INVALID,INVALID
64,Oru rakshayum illa mona.... Ithavana cup rajuvettan kondupoyeeeeeeee!,Positive,0.0,Positive,Negative,INVALID,Mixed_feelings,INVALID,INVALID
65,ഇത് dubbed voice ആണോ ഹിന്ദി.. നിവിൻ തന്നെയാണെങ്കിൽ പൊളിച്ചിട്ടുണ്ട്,Positive,0.7833333333333333,Mixed_feelings,Negative,INVALID,Mixed_feelings,INVALID,INVALID
66,മലയാള സിനിമാ സൂപ്പർസ്റ്റാർകളിൽ നിന്നും വഴിമാറി വരുന്നു. ഒപ്പം വിജയങ്ങളും.... അടിപൊളി,Positive,0.9342105263157895,Positive,Mixed_feelings,INVALID,INVALID,INVALID,INVALID
67,Swasika..... swasika vijay.... ഞങ്ങളുടെ മുത്ത്.....,Positive,0.2978723404255319,Positive,Positive,INVALID,INVALID,INVALID,INVALID
68,polich ikkkkkkaaaaaaaaaa  kola maaaaaaaaaaas  marana maaaaaaaaaaaaas  triple maaaaaaaaaaaaaaas,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
69,Mamangam fans show kandirikkum ad ini eath time ayalum ikkayum eattanum namukk  oru Poleyalle,Positive,0.0,Negative,Negative,INVALID,Mixed_feelings,INVALID,INVALID
70,Padam utubil irakiyal chilappo hittavum.theateril valya pradeeksha vakenda.,Positive,0.0,Negative,Negative,INVALID,INVALID,INVALID,INVALID
71,Oru reksha illa maranna mass feel ear phone use cheyy kidu feel kittum,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
72,മലയാളത്തിന് നല്ല ഒരു thriller ഉണ്ടാകട്ടെ എന്ന് പ്രതീക്ഷിക്കാം..... After memories.. .. അഞ്ചാം പാതിരാ..  Bgm,Positive,0.6276595744680851,Mixed_feelings,Mixed_feelings,INVALID,INVALID,INVALID,INVALID
73,Ente ponno rajuvetta namichu lalettan is back,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
74,"Kalathinuu oppam sanchsrikkun vineeth ettaa , physco yanne epoo trent",Positive,0.0,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
75,Oru rakshayum illa..joli kazhin ksheenichirangiya enik ippo oru energy okke thonunu.. #Mamangam,Positive,0.0,Positive,Negative,INVALID,INVALID,INVALID,INVALID
76,ഒരു രക്ഷയും ഇല്ല കിടു         ദളപതിയുടെ പിള്ളേരുടെ വക എല്ലാ ആശംസകളും നേരുന്നു,Positive,1.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
77,Kandittum kandittum kothii teeranilla release nu vendii katta waiting ....#FDFS locked,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
78,ട്രൈലർ കണ്ടു അങ്ങ് ലൈകീക് ...കാരണം ഒന്നും പറയാൻ ഇത് പൊളിക്കും,Positive,0.9433962264150944,Negative,Negative,INVALID,Mixed_feelings,INVALID,INVALID
79,This is interesting.....ikka polikku ikka.....all the best from Lalettan Fans,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
80,Chandhuvineyum pazhashiyekalum mukalil nilkan pokunna oru muthal.. chandrothe ee vellyamamma..,Positive,0.0,Mixed_feelings,Positive,INVALID,Mixed_feelings,INVALID,INVALID
81,Joshi chaayan varunne...newgen pillerellam kandam vazhi odikko...theateril poyi direction padikkaan...Jayan.te moorkhan 1980 IL cheytha Joshi Jojovinte film 2019  IL edukunnu angeraanu maaaass...,Positive,0.0,Mixed_feelings,Negative,INVALID,INVALID,INVALID,INVALID
82,Ittichan Polichuuuu Onam Lalettan eduthu ennu parayan Paranju,Positive,0.0,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
83,Malayalathinte mahanadan #Suriyafansinte ashamsakal🤝 Trailer looks massy!,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
84,"Midhun manuval thomasinte adtha     Padam , shyju kalidhnte DOP ,sushin shyamnte samgeetham, chakochanum basi machanum Dark",Positive,0.0,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
85,നല്ല രണ്ട് നടന്മാരുടെ performance കാണാൻ പറ്റും എന്ന് ഉറപ്പായി.,Positive,0.7818181818181819,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
86,ലേഡീസ് and ജെന്റിൽമാനോ ഭാസ്കർ the റാസ്‌കളോ പോലെ ആവാതെ നല്ലൊരു ബോഡിഗാർഡ് ആവട്ടെ,Positive,0.8970588235294118,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
87,Katta waiting  Lalettan  Rajuettan polichu heavy  Entha oru feel,Positive,0.0,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
88,Teaser kandappo valya pradeeksha illayirunnu.......ithu kandappol maarikitti......,Positive,0.0,Negative,Negative,INVALID,Mixed_feelings,INVALID,INVALID
89,സത്യത്തിൽ ട്രൈലെർ കാണാൻ നല്ല രസമുണ്ട്. പക്ഷെ ഇത് മലയാളം തന്നെയാണോ ? 🤔ഒക്കെ പുതുമുഖങ്ങൾ ആണല്ലോ.,Positive,0.9512195121951219,Mixed_feelings,Mixed_feelings,INVALID,INVALID,INVALID,INVALID
90,ഇപ്പോൾ വന്നത് ക്‌ളാസ് ഇനി വരാനുള്ളത് ഒരു ഒന്ന ന്നര മാസ് #Shylock,Positive,0.8363636363636363,Positive,Positive,INVALID,INVALID,INVALID,INVALID
91,entee moone goosebumbs overload raju ettan direction polikum,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
92,Odiyan trailer nakalum katta waiting Lucifer,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
93,Soooooperrr  Kure kalamyi malayalathil ninnu thriller vannitt..  Ith poli aayirikkum,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
94,Malayala cinemayile nattellulla aankutti. Nammade Rajuettan,Positive,0.0,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
95,ഈ ഡയലോഗ് എടുത്തിരിക്കുന്നത് national gamesന്റെ  ഉദ്ഘാടനം കാര്യവട്ടത്തെ സ്‌റ്റേഡിയത്തിൽ നടന്ന ദിവസം മോഹൻലാൽ ലാലിസത്തിന് മുൻപ് അവതരിപ്പിച്ച പ്രെസെന്റഷനിൽ നിന്നാണ്... അല്ലാതെ സിനിമയ്ക്കായി ചെയ്തത് ഒന്നുമല്ല... ഇത് fan made trailer ആണ്... യഥാർത്ഥ മൂവിയുമായി ഇതിനു ഒരു ബന്ധവും ഇല്ല....,Positive,0.8353413654618473,Mixed_feelings,Negative,INVALID,INVALID,INVALID,INVALID
96,ഈ പടത്തിൽ ഒരിക്കലും മമ്മൂട്ടിയുടെ ഡാൻസ് ഉണ്ടാകുമെന്ന് കരുതിയില്ല.  തിയേറ്ററിൽ നല്ല കയ്യടി ആയിരുന്നു ഇതിനൊക്കെ.  സംഭവം ക്യൂട്ട് ആയിട്ടുണ്ട്,Positive,0.9836065573770492,Positive,Positive,INVALID,INVALID,INVALID,INVALID
97,Supr trailer oru vettame like adikkan pattullu ennoru sankadam athra kidu trlr,Positive,0.0,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
98,*ഈ സിനിമ മുതൽ ഇനി അങ്ങോട്ടാണ് സുരാജ് എന്ന സൂപ്പർസ്റ്റാറിന്റെ ആരംഭം*,Positive,0.9661016949152542,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
99,Ee Trailer Njan Thaetril Kandappo Ennaa Feelaan! Tovino Achayan Ishtam!,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
100,ഈ film Swasu ന്റെ Super hit ൽ ഒന്നാകട്ടെ ... support ചങ്ക് സ്വാസൂട്ടീ ... Support Joshy Sir,Positive,0.40789473684210525,Positive,Positive,INVALID,INVALID,INVALID,INVALID
101,ഇക്ക മരണ മാസ്സ്.. ബ്ലാക്ക് എന്ന സിനിമയ്ക്ക് ശേഷം  ഇക്ക വീണ്ടും ബ്ലാക്ക് ലുക്കിൽ ഇത് മാസ്സ് കാ ബാപ്,Positive,0.9759036144578314,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
102,Padam oru vamban hit akatte....Chackochan.  we r waiting ......,Positive,0.0,Negative,Positive,INVALID,INVALID,INVALID,INVALID
103,എന്താ മേക്കിംഗ്....  Geethu MohanDas vere level... RajeevRavide wife അല്ലെ സംശയിക്കാൻ ഇല്ല..,Positive,0.4074074074074074,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
104,Ente ikkkaaaa kola mass YouTube hang aanu makkale,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
105,idum kuudi 37 aamathe repeat adi,Positive,0.0,Negative,Negative,INVALID,INVALID,INVALID,INVALID
106,കിടു മൂവി  ഷമ്മി ഹീറോയാടാ ഹീറോ  സജി മുത്താണ്  എല്ലാരും പൊളിച്ചു,Positive,1.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
107,ഇട്ടിച്ചചായണന്റെ... സാമ്പിൾ വെടികറ്റ്.... കാണാൻ പോണ്ടായ.....,Positive,0.7857142857142857,Mixed_feelings,Negative,INVALID,Mixed_feelings,INVALID,INVALID
108,Margam kali polichuuu laletante purakil ninnnna Salim Kumar polichuuuu,Positive,0.0,Negative,Positive,INVALID,Mixed_feelings,INVALID,INVALID
109,Psychoo ഷമ്മി വേറെ level  ഷമ്മി ഹീറോ ആടാ..,Positive,0.6,Positive,Positive,INVALID,INVALID,INVALID,INVALID
110,Padam kandu oru rakshayum illa!! Soubin Shane polichu,Positive,0.0,Negative,Negative,INVALID,INVALID,INVALID,INVALID
111,മമ്മൂക്കയുടെ വളരെ വ്യത്യസ്തവും പുതുമ ഉള്ളതുമായ വേഷം ആണ്..  മമ്മൂക്ക extra ഓർഡിനറി performance  ചിലപ്പോ ആരും വലിയ രീതിയിൽ പ്രതീക്ഷിക്കാതിരുന്ന ഈ ചിത്രം ആയിരിക്കാം മലയാളത്തിലെ എല്ലാ റെക്കോർഡുകളും കടത്തി വെട്ടുന്നത്,Positive,0.9037433155080213,Positive,Positive,INVALID,INVALID,INVALID,INVALID
112,Fuhad mathralla Ellarum. Polichadukki. Film theatril poyi kandillel. Ad oru nashtan,Positive,0.0,Negative,Negative,INVALID,INVALID,INVALID,INVALID
113,Ithilude enkilum tirichu varuka lalettan fans waiting....,Positive,0.0,Mixed_feelings,Positive,INVALID,Mixed_feelings,INVALID,INVALID
114,Lalettan massaaa verum Mass Alla kolamass lalettan ki jaiiii,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
115,Ellarum ikka ikkaa...Njan mathram anooo unni chettane mention cheyunnadh...Unni chettante pwoli,Positive,0.0,Mixed_feelings,Positive,INVALID,Mixed_feelings,INVALID,INVALID
116,സുരാജേട്ടാ ഇങ്ങളെ നമിച്ചു......  ഇങ്ങള് പൊളിയാണ്........,Positive,0.7254901960784313,Negative,Negative,INVALID,Mixed_feelings,INVALID,INVALID
117,അൽ കിടു കോമ്പിനേഷൻ പൊളിക്കും ഫഹദ് ഇക്ക ഷൈൻ ഇക്ക സൗബിൻ ഇക്ക പൊളിക്ക്,Positive,1.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
118,ഈ കൊച്ച് ഉദാഹരണം സുജാതയിൽ കിടിലൻ പെർഫോമൻസ് ആയിരുന്നു. പിന്നൊന്നിലും കണ്ടില്ലല്ലോ കണ്ടില്ലല്ലോ എന്ന് കരുതി ഇരിക്കുവായിരുന്നു.,Positive,0.9821428571428571,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
119,Oru rakshayum illa ikka.. ningal pwolichu..  ith kidukkum,Positive,0.0,Negative,Negative,INVALID,Mixed_feelings,INVALID,INVALID
120,Malayala cinemayude range enthanen ariyan erikkunathe ullu MAMANGAM,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
121,ന്റെ പൊന്നോ.. പടം ഒരു രക്ഷയുമില്ല soubinikka,Positive,0.6923076923076923,Negative,Negative,INVALID,Mixed_feelings,INVALID,INVALID
122,Trailer athra nannaavaandu irikkunnathaaa nallathu niraasha pedilla padam kaanumbo padam kollaamenkil athu bonus aaaaa,Positive,0.0,Positive,Mixed_feelings,INVALID,INVALID,INVALID,INVALID
123,Nivin Pauly enna tharamalla Nivin Pauly enna Nadan,Positive,0.0,Positive,Negative,INVALID,INVALID,INVALID,INVALID
124,നല്ല നന്മകൾ ഉള്ള പടം കാണാൻ  ആഷിക് and കൂട്ടുകാരെ പടം കാണണം,Positive,0.9375,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
125,mammookka oru rakshayum Illa kiddu,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
126,Basil # midhun Gopinath classile villanisum upakarapettalee  chunk polichuuu,Positive,0.0,Negative,Negative,INVALID,Mixed_feelings,INVALID,INVALID
127,June 16 Keralakara ilakki marikkum ikka,Positive,0.0,Negative,Negative,INVALID,Mixed_feelings,INVALID,INVALID
128,3-4 പൊളിപടത്തിന് ശേഷം   ഒരു കിടുക്കാച്ചി സിനിമകണ്ടു ഇന്ന്... 22-9-2019 ൽ _ കുബൈറ്റിൽനിന്ന്    എന്താ പറയുക    മാസ്സ് മരണ മാസ്സ്       കിടു കിടുലോം  കിട്ടു,Positive,0.8666666666666667,Positive,Positive,INVALID,INVALID,INVALID,INVALID
129,Last aa chaadiyulla adi...   Athu screenil varumbolulla kaaryam,Positive,0.0,Negative,Negative,INVALID,Mixed_feelings,INVALID,INVALID
130,Ithore nalla padam aaakatte enne praaarthikkunnu Poli trailer,Positive,0.0,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
131,Superb     Katta suppor  By         Ettan fans,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
132,Oru dubbing padathinte trailer pole.  kidu,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
133,Ee christmas driving license kond povum,Positive,0.0,Negative,Negative,INVALID,INVALID,INVALID,INVALID
134,"Accent  , trailer feel good aan",Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
135,"Cristamasinu.... mamangam, driving license, kozhiyum... polikum",Positive,0.0,Mixed_feelings,Negative,INVALID,INVALID,INVALID,INVALID
136,Enteh laletta eth trailer aanu uff,Positive,0.0,Negative,Positive,INVALID,INVALID,INVALID,INVALID
137,Trailer kandu kazhinjathum vallathoru santhosavum vishamavumokke... enthayalum kanan valia kothiyay...,Positive,0.0,Mixed_feelings,Mixed_feelings,INVALID,INVALID,INVALID,INVALID
138,സ്വാസികയുടെ ഇനിയുള്ള ജീവിതത്തിൽ ഈ സിനിമ ഒരു പൊൻതൂവൽ ആവട്ടെ...,Positive,0.9444444444444444,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
