sample_id,text,true_label,llama_pred,mistral_pred
40,എത്ര കേട്ടാലും മതി വരാത്ത സോങ്,Positive,Negative,Positive
41,ആരും സഞ്ചരിക്കാത്ത വഴികളിലൂടെ നിവിൻ സഞ്ചരിച്ചു തുടങ്ങി,Positive,Positive,Mixed_feelings
42,kanunnathin  anusarich veendum veendum kanan thonnunu,Positive,Negative,Negative
43,Super  കേട്ടാലും കേട്ടാലും മടുക്കാത്ത song,Positive,Positive,Positive
44,Onnum parayanilla... ഒരു pidiyum kittunnilla... waiting for.... pathinettam പടി..... Rockkk Mammookka .,Positive,Positive,Negative
45,മലയാള സിനിമക്ക് എന്നും ശക്തമായ സ്ത്രീകഥാപാത്രങ്ങൾ തന്ന മഞ്‍ജു ചേച്ചി മറ്റൊരു ശക്തമായ കഥാപാത്രവുമായി വീണ്ടും,Positive,Positive,Positive
46,ഒരു ശക്തമായ കപാത്രം  ജോജു കൊട് കൈയ്യടി......,Positive,Positive,Positive
47,Kure  നാളുകളായി ഒരു സാധാരണ പടം ആഗ്രഹിക്കുന്നു. അത് ഇതിലുണ്ടാവണമെന്ന് പ്രതീക്ഷിക്കുന്നു,Positive,Positive,Mixed_feelings
48,"ഈ പാട്ടിനു എങ്ങനെ ഡിസ്‌ലൈക്ക് അടിക്കാൻ തോന്നി?? ആ സ്റ്റേജിൽ ഉള്ളവരിൽ ഏറ്റവം നന്നായി കളിച്ചതു ലാലേട്ടൻ ആണെന്ന് ആർക്കൊകെ തോന്നി, സ്റ്റീഫൻ നെടുമ്പള്ളി തന്നെ ആണോ ith? ഓണം ഇട്ടിച്ചായൻ കൊണ്ടുപോകും, ഉറപ്പ്.",Positive,Positive,Mixed_feelings
49,ഇപ്പോഴും വന്നു കണ്ട് രോമാഞ്ചിഫിക്കേഷൻ ആവുന്നവർ ഇവിടെ ലൈക്‌ അടി...,Positive,Positive,Positive
50,പടം ഇറങ്ങിയിട്ട് 2 മാസം ആയിട്ടും ഇപ്പോഴും കേൾക്കുന്നു,Positive,Positive,Positive
51,Tgf nu shesham Nalla moodulla mattoru malayala film aavum.,Positive,Positive,Positive
52,മലയാളികൾ wait ചെയ്ത song ഒന്നും പറയാൻ ഇല്ല മമ്മുക്ക കലക്കി,Positive,Negative,Positive
53,Trailer കാണുന്നേ മുൻപേ like അടിച്ചവർ ഇവടെ കമോണ്,Positive,Negative,Negative
54,Entae jeevathil ithrayum pravishyam trailer kanda verae oru cinemayum illa,Positive,Negative,Negative
55,"അങ്ങനെ മലയാള സിനിമയിലേക്ക്  ലക്ഷണമൊത്ത മറ്റൊരു ക്രൈം ത്രില്ലെർ സിനിമ കൂടെ, ഇതിലെ ഓരോ ഷോട്ടും നിഗുഢത നിറഞ്ഞതും പേടിപെടുത്തുന്നതുമാണ്",Positive,Positive,Positive
56,Mohanlal fans like here .... Ettan maaasss aanu,Positive,Positive,Positive
57,Enta ikka polichu   Kidu item  Ethu polikkum,Positive,Positive,Negative
58,Ichaayn masss alaaa marana masss anuuuu polwiii,Positive,Positive,Positive
59,നല്ല കട്ട ലോക്കൽ മൂവി  ആയിരിക്കും waiting,Positive,Positive,Positive
60,Ella recordum theerkaan kazhiyatte ennaasamsikunnu...Enkil maathre e record marakaar release aavumbo thiruthaan saadhikku,Positive,Negative,Negative
61,Bgm + ettan + dialogues + fight  = romanijification,Positive,Positive,Positive
62,Mmale Thrissurile jedikale film..ith pwolikum tta,Positive,Negative,Negative
63,E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu,Positive,Mixed_feelings,Mixed_feelings
64,Poli trailer movie kanan kothi akunnu,Positive,Negative,Positive
65,ലാലേട്ടാ പൊളിച്ചു ഏറെ നാൾ ആയിട് കാണാൻ കാത്തിരുന്ന ആ പഴയ ലാലേട്ടൻ ഈ ഓണം ഇട്ടിച്ചയാനോട് ഒപ്പം🤗🤗,Positive,Positive,Positive
66,Nice...ikka mass   . All th bst #lalettan fan,Positive,Positive,Positive
67,Lalettan kidu maazz .... .... Super.......,Positive,Positive,Positive
68,MAMMOOKA FANSINTE ELLA VIDHA ASHAMSAKALUM NERUNNU...,Positive,Positive,Positive
69,romancham ennokke paranja koranji pogum ....athukkum mele,Positive,Negative,Positive
70,Ettan pwoli.. Engane abinayikunnu ethra cute ayyitte,Positive,Positive,Positive
71,ചിന്ത പാളുന്ന കൊല്ലകൊല്ലി ഐറ്റം   മാമാങ്കത്തിൽ ക്ലാസ്സ്‌ ആയിരുന്ന ഇക്ക  ഷൈലോക്കിൽ ട്രിപ്പിൾ മാസിൽ,Positive,Positive,Mixed_feelings
72,Mammukka marana mass  Ikka fans like  Katta wi8 for mammangam,Positive,Positive,Positive
73,ചാക്കോച്ചന്റെ ഒരു ഉഗ്രൻ തിരിച്ചുവരവാകട്ടെ ഈ ചിത്രം...കിടു trailer,Positive,Positive,Positive
74,ഇൗ പിള്ളേരൊക്കെ പറയുവല്ലോ എന്തുവാ കൊലമാസ്സ്‌ അത് തന്നെ,Positive,Negative,Negative
75,Nalla kidukkachii trailer... Ikka love uuu...,Positive,Positive,Positive
76,മമ്മൂക്ക ഒരേ പൊളി... എജ്ജാതി എനർജി സ്ക്രീൻ പ്രെസൻസ്,Positive,Positive,Positive
77,ഭവനെ... കൊല ഗാണ്ടിലെ ഇറുക്ക്... ഹഹ...കൊല്ലാമ വിടമാട്ടേൻ...   ന്റമ്മോ ജ്ജാതി ഡയലോഗ്,Positive,Positive,Negative
78,മാർഗം  കളി   സൂപ്പർ,Positive,Positive,Positive
79,ഇത് എപ്പ പൊളിച്ചൂന്ന് ചോദിച്ചാ പോരെkatta waiting...................,Positive,Negative,Negative
80,inni Kanji chodichu Arum varandaa....Assalu Biriyani thanne Thannittund.         Lucifer,Positive,Positive,Negative
81,Adaar item orungi....kaathirunnolu ini ball njngalde kayil aan....!!!,Positive,Negative,Positive
82,Vere level ikka polikum. RAJA vere level aakum. Ikkaaaa,Positive,Positive,Positive
83,Enne pole katta waiting ayi nikunavar adi oru,Positive,Negative,Negative
84,ആദ്യത്തെ സംസാരം കേട്ടപ്പോ ഓർത്ത് കരിക്കിലെ പിള്ളേരും ഉണ്ടെന്ന്  സൗബിനിക്ക വാട്ട്‌ a ട്രാൻസ്ഫോർമേഷൻ മാൻ   കട്ട വെയ്റ്റിംഗ്   Ps: ഭാവന സ്റ്റുഡിയോസ്  പോത്തേട്ടൻ അറ്റെൻഷൻ ടു ഡീറ്റെയിൽസ് കിടുക്കാച്ചി.,Positive,Positive,Mixed_feelings
85,Sound pwoliii... ട്രൈലെർ ഒരു രക്ഷയുമില്ല.. 🤩🤩🤩🤩🤩🤩🤩,Positive,Negative,Positive
86,ഭാവം കൊണ്ടും വേഷം കൊണ്ടും ഒരുപാട് ചിരിപ്പിച്ചിരുന്ന ആ പഴയ സലീം കുമാറിനെ വീണ്ടും കാണാൻ സാധിക്കുമെന്ന് പ്രതീക്ഷയുണ്ട്,Positive,Positive,Positive
87,Lalettan ki jaiiiii..king of box office,Positive,Positive,Positive
88,മമ്മൂക്ക ഡാൻസ് കളിക്കുന്നത് എന്തൊരു രസത്തോടെയാണ് തിയേറ്ററിൽ ആസ്വദിച്ചത്..എന്നും അതേ.... വല്ലാത്ത ഇഷ്ടമാണ് ഇദ്ദേഹത്തിന്റെ അഭിനയത്തോടുള്ള പാഷൻ കാണുമ്പോ  ഇപ്പോഴും അടിവരയിട്ട് പറയുന്നു ചരിത്രവേഷങ്ങളെ അതിന്റെ പൂർണ്ണതയിൽ എത്തിക്കാൻ ഇതിലും മികച്ച നടൻ നമുക്ക് വേറെയില്ല..  എന്ന് ഒരു കട്ട ലാലേട്ടൻ ഫാൻ  Nb:- (ഇദ്ദേഹത്തിന്റെ പ്രായത്തിൽ ജീവിച്ചിരിക്കുമോ എന്നുപോലും ഉറപ്പില്ലാത്തവരുടെ ഡീഗ്രേഡിങ് ആരും കാര്യമായി എടുക്കരുത്.. ),Positive,Positive,Positive
89,Oru rakshayum illa..joli kazhin ksheenichirangiya enik ippo oru energy okke thonunu.. #Mamangam,Positive,Positive,Negative
90,Kali brazilum(lalettan) Argentina ( mammookka)yum thammila.... Thee paarum.... Welcome mammookka....,Positive,Positive,Positive
91,എന്തൊരു look എന്റമ്മച്ചി. കട്ട കലിപ്പ് look തന്നെ,Positive,Negative,Positive
92,ഈ ലുക്കിൽ ഇക്കാന്റെ എൻട്രി ഒന്ന് ആലോചിച്ചു നോകിയെ ഉഫ് കട്ട വെയ്റ്റിംഗ്,Positive,Negative,Positive
93,മമ്മൂക്ക മറ്റൊരു ഭാഷ മാസ്സായി പറയുമ്പോൾ കിട്ടുന്ന ഒരു ഫീൽ ഹോ അത് പറഞ്ഞരീക്കാൻ പറ്റില്ല FDFS തകർത്തിരിക്കും,Positive,Positive,Positive
94,ഷിൻറെ ഒപ്പം വേറെയും രണ്ടുമൂന്നു പേരുണ്ട് അവരെ ആരും  കണ്ടില്ലേ... അവരെയും ഒന്ന് സപ്പോർട്ട് ചെയ്തോടെ...Feelgood  song,Positive,Positive,Mixed_feelings
95,Ee paattum kett urangaan oru sugam thanna...,Positive,Positive,Positive
96,Eeee mothaline thakarkkan iny aarada ullathu,Positive,Negative,Negative
97,Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.,Positive,Positive,Positive
98,മമ്മൂക്ക   നമ്മുടെ എക്കാലത്തെയും സൂപ്പർ സ്റ്റാർ,Positive,Positive,Positive
99,Vaan Trailer .... laleetta nigga Oru jinn Aanu kettoo.....mass voice,Positive,Positive,Positive
100,സ്വാസികയ്ക്ക് മലയാള സിനിമയില്  ശക്തമായൊരു തിരിച്ചുവരവിന് ഈ സിനിമ വഴിയൊരുക്കട്ടെ......എല്ലാവിധ ആശംസകളും സ്വാസുവിനും  എല്ലാവര്ക്കും,Positive,Positive,Positive
101,Hoooo.      Kilipoi,Positive,Positive,Positive
102,152k views in 38 minutes 107k likes. Lalettan magic,Positive,Positive,Positive
103,Ittimaniyil... LOVE und.... ACTION  illa....DRAMA und... Movie bore adipikilla..Poi.. Kandu.. Istapetu...,Positive,Negative,Mixed_feelings
104,Ettan fan aaanu but nallathu kandal nallathanu ennu thanne parayum.....ikka mass aaayittund ....ithu pwolikkum,Positive,Mixed_feelings,Positive
105,മരണം എന്ന മൂന്നക്ഷരത്തേ... പോരാട്ടം കൊണ്ട് ഭയപ്പെടുത്തിയ ചാവേർപടയുടെ വീരനായകന്റെ കഥ   ചാവേർപ്പടയുടെ മാമാങ്കം,Positive,Positive,Mixed_feelings
106,"Kalipp katta kalip polichu..,. I am waiting.....",Positive,Negative,Positive
107,ലാലേട്ടൻ പൊളിച്ചു   ലാലേട്ടന്റെ കരിയറിലെ തന്നെ ഏറ്റവും മികച്ച ഒരു മൂവി ആണ് എന്ന് തോനുന്നു  ബിഗ് ബ്രദർ    മാസ്സ് fight & Mass ഡയലോഗ്സ്   ലാലേട്ടൻ ഇസ്‌തം,Positive,Positive,Positive
108,കാത്തിരിപ്പിന്റെ സുഖം അതൊന്ന് വേറെ തന്നെയാ     Katta waitting @ഇട്ടിമാണി,Positive,Positive,Positive
109,Thakarthutto...  Onnalla orupaadu kaaranangalaa...  ith thakarkkum...,Positive,Negative,Negative
110,Njnum oru fanaaaaa Prithvirajinteyum mammokkayudeyum lalettanteyum okkeeee......,Positive,Positive,Positive
111,Simple yet beautiful  what a film എല്ലാരും അടിപൊളി ആയി.ഇങ്ങനെ വേണം സിനിമ.    Long way to go Shane,Positive,Positive,Positive
112,Ente ponnu ettaaa ningalu njngale romancham varuthichu kollum,Positive,Positive,Negative
113,Visual treat tanne aayirikum film ennu e song katti thannu,Positive,Positive,Positive
114,Kidu trailer  Ikka fans like Adi,Positive,Positive,Positive
115,kaalame ini pirakkumoo ithpoloru vismayam   Mamukka___,Positive,Positive,Mixed_feelings
116,ഒരു അപേക്ഷ ഉള്ളു എല്ലാവരോടും  നമ്മുടെ ഇക്ക ഫാൻസ് ഒരു കുഴപ്പും അത് തന്നെയാണ്  അടുത്തത് വരുമ്പോൾ കൈയിൽ ഇരിക്കുന്നത് കളഞ്ഞിട്ട് പോകരുത്  #shylock സമയം നമ്മുക്ക് ഉണ്ട് അതുകൊണ്ട് തന്നെ promotion വേണ്ട എന്ന് അല്ല  വേണം എന്നാലും ക്രിസ്മസ് അവധി ആണ് വരുന്നത് മാമാങ്കം വിട്ട് പോകല്ലെ കട്ടക്ക് നിൽക്കണം വമ്പൻ ഹിറ്റ് ആകണം മാമാങ്കം  നമ്മളാണ് എല്ലാത്തിനും ദേവനും  അസുരനും എല്ലാ   മാമാങ്കം,Positive,Positive,Positive
117,Ettante padathin positive  kittya pinne oruthanum mutteett karyalla. Muttolamethan polum pattilla,Positive,Negative,Negative
118,nyzzzz work,Positive,Negative,Negative
119,"ഈ സിനിമയിലെ ഓരൊ കഥാപാത്രവും നമ്മുടെയൊക്കെ ഉള്ളിലുണ്ട് ,അത് കൊണ്ടാണ് പടം അത്രയ്ക്ക്  ഇഷടപ്പെട്ടത്",Positive,Positive,Positive
120,രോമാഞ്ചം അൺലിമിറ്റഡ്.. ട്രൈലെർ പോലെ തന്നെ മൂവിയും അടിപൊളിയാവട്ടെ.. ആശംസകൾ,Positive,Positive,Positive
121,Malayala cinemayude charithram mattan deric abraham june 16 ethum,Positive,Positive,INVALID
122,ഈ മ്യൂസിക് Compos ചെയ്തവന്റെ കഴിവ് മനസ്സിലാക്കണമെങ്കിൽ 1:30 ശ്രദ്ധിച്ചാൽ മതി ഒരു വെറൈറ്റി മിക്സ്‌ കയറ്റിയേക്കുന്നത് കാണാം... Sushin shyam,Positive,Positive,Positive
123,Vineeth ettan produce cheyyunna   film vere enth nokana,Positive,Positive,Negative
124,ചെക്കൻ അടുത്ത natural acter ആവുന്നു തോനുന്നുണ്ടോ..  ഫഹദിനും /സൗബിനും /ഷൈൻ നീഗത്തിനു ശേഷം nxt natural actre,Positive,Positive,Mixed_feelings
125,Laletta kalakki.lallettan fanayalum Ikka fanayalam .Kandal Romanjam Varum .adutha level trailer. Njan like adichu.onnilparam Kandavar itil like adikku.,Positive,Positive,Positive
126,Valiya perunnal  shane nigam ishtam,Positive,Positive,Positive
127,Adipoli mass padam aarikkum. Ikkede alle padam,Positive,Positive,Positive
128,Nalla oru film anuuu ellavarum poyi kanu....,Positive,Positive,Negative
129,ഈ  സിനിമ  സൂപ്പർ  ആയിരിക്കും മഞ്ജു ചേച്ചി  നിങ്ങൾ  ഒരു  സംഭവം  ആണ്  കെട്ടോ  ചേച്ചി  പൊളിച്ചു  അടുക്കി  ഈ സിനിമ  തീയറ്ററിൽ വരാൻ കാത്തിരിക്കുന്നു,Positive,Positive,Positive
130,LAlettanu cheyyankaziunna role mammookakum patilla athupole thanne mammooka cheyunna kathapathram Lalettanum patiyennuvarilla. ethokke nadanmaar inium vannalum manasil kuthikurichittekunna randu perukalaanu Lalettanteum Mammookaudeum,Positive,Negative,Negative
131,Inn ni8 full repeat adich kanan ponavar ivide like adicholu,Positive,Negative,Negative
132,Petrol vila karanam raja cycilil. polichu!!!!!,Positive,Negative,Negative
133,That laugh ente പൊന്നു ഇക്കാ powlichu,Positive,Positive,Negative
134,ലാലേട്ടൻ മാർഗംകളി പൊളിച്ചു........ ishtapettavar like adicheaa🤩🤩,Positive,Positive,Positive
135,മാസ്സ് എന്നൊക്കെ പറഞ്ഞാൽ ഇതാണ് മാസ്..ഇക്കണ്ട പടം എല്ലാം സൂപ്പർ സ്റ്റാറുകളുടെയും നായകന്മാരുടെയും പടം വച്ചു പോസ്റ്ററടിക്കുമ്പോ ഇവിടെ ഒരെണ്ണം ഡയറക്ടറുടെ പേര് വച്ചു അടിച്ചു ഇറക്കിയേക്കുന്നു.. മാസ്സ്..മാസ്സ്...കൊലാമാസ്സ്...,Positive,Positive,Positive
136,kalakki Kalakki. Onnum parayan illa,Positive,Positive,Negative
137,എന്റെ  പൊന്നോ  കണ്ണെടുക്കാൻ  കഴിയുനില്ല,Positive,Negative,Negative
138,പുതു താരകങ്ങളിലെ നന്മയുള്ള മാണിക്യ കല്ല് .... രാജ്യാന്തരവേദികളിൽ മികച്ച പ്രകടനം കാഴ്ച്ചവെച്ച മൂത്തോനിലെ നിവിന്റെ അഭിനയ മികവ് കാണാനായി കാത്തിരിക്കുന്നവർ ഇവിടെ കമോൺ,Positive,Positive,Positive
139,ഈ പാട്ട് തരുന്ന Feel പറഞ്ഞറിയിക്കാൻ പറ്റില്ല sushin shyam excellent work.  Soorajettan anne amie superb singing,Positive,Positive,Positive
140,Pwolich ikka love from ettan fan,Positive,Positive,Positive
141,Uff.... ingnethe oru trailer malayalam industryil thanne vannukanilla. Oru rakshayum illa adaar item thanne aann മമ്മൂക്ക,Positive,Negative,Negative
142,പടം അടിപൊളി കിടു അടി മാസ്സ്,Positive,Positive,Positive
143,ടീസറിനെക്കാളും ട്രൈലറിനെക്കാളും വിഡിയോ സോങ് ഇഷ്ട്ടപെട്ടവർ ഇവിടെ ലൈക്‌ ഈ വർഷത്തെ ഓണകപ്പ് ഇട്ടിച്ചായനും പിള്ളേരും ഇങ്ങെടുത്തു എന്ന് പറഞ്ഞേക്ക്,Positive,Positive,Positive
144,Mammukka oru rakshayilla     NEXT 200 CRORES IN MOLLYWOOD CINEMA,Positive,Positive,Positive
145,വീണ്ടും ദിലീപ് ഏട്ടൻ.. കൂടെ സുഗീതും  #മാമാങ്കം #ബിഗ് ബ്രദർ  #My Santa തീയേറ്ററിൽ ഇനി ഹൗസ്ഫുൾ കാലം🥰,Positive,Positive,Positive
146,Nalla Padama Kandavar maathram like cheyyu,Positive,Positive,Positive
147,ഇത് കൊള്ളാം...  തീ പാറും,Positive,Positive,Positive
148,ഇട്ടിച്ചനും പിള്ളേരും ഈ ഓണം ഇങ്ങെടുക്കുവാ....   കട്ട ലാലേട്ടൻ ഫാൻസ് ലൈക്ക് അടിക്ക്,Positive,Positive,Positive
149,"ഏത് മ്മടെ 1983,ആക്ഷൻ hero ബിജു, പൂമരം എടുത്ത എബ്രിഡ് ഷൈനോ  ഞെട്ടിച്ചു",Positive,Positive,Positive
150,കിങ് മേക്കർ ജോഷി സാറിന്റെ വൻ തിരിച്ചുവരവാകട്ടെ ഈ ചിത്രം എന്നാശംസിക്കുന്നു,Positive,Positive,Positive
151,"Comedy  king ,ഉം കുട്ടികളും ഈ പടം തകർക്കും,,,!!",Positive,Negative,Positive
152,Aadhyamayi midhun machande oru film enik kananam enna oru thonnal indakya film,Positive,Negative,Mixed_feelings
153,ഒരു കിടുക്കാച്ചി കോമഡി  ഫാമിലി മൂവി loading,Positive,Positive,Positive
154,Oru mass Dialogue polum illathirakki mass kattan pona movie,Positive,Negative,Positive
155,ഒരു രക്ഷയുല്ലാട്ടോ...മാരകം... മാസ്മരികം... ജോഷി തിരിച്ചു വന്നു ആശാനേ...🤤🤤🤤,Positive,Positive,Positive
156,എജ്ജാതി പടം <3  ഫസ്റ്റ് ഡേ കണ്ടവരുണ്ടോ ?,Positive,Positive,Positive
157,Oru narasimham usthad okke orumich kanda oru sughm kittyy... kuliroodu kuliru... laaleettaa... raju... no rekshaa... iniyum kaanan thonnunnavr like,Positive,Positive,Positive
158,50 സെക്കന്റ് മുതല്‍ ഉള്ള ഡയലോഗ് ഇനി വണ്ടി ഭ്രാന്തന്‍മാരുടെ സ്റ്റാറ്റസായിരിക്കും,Positive,Negative,Negative
159,കാണുന്നതിന് മുൻപേ ലൈക് ചെയ്തത് ഞാൻ മാത്രമാണോ.. 🤩... ലാലേട്ടാ,Positive,Positive,Positive
160,Padam kndit vndum trailer kanumpo veror feel,Positive,Negative,Negative
161,Marana mass kettitellu. Eppam kandu.  Prithi & lalettan combo polikuumm,Positive,Positive,Positive
162,ഇട്ടി കണ്ടു. നല്ല പടം. കുറച്ചു ലാഗ് ഉണ്ട്. ഒരു ഫൈറ്റ് ചേർക്കമായിരുന്നു. ഒരുപാട് ചിരിക്കാൻ ഉണ്ട്. കുറച്ചു A കോമഡി ഉണ്ട്. പക്ഷെ കുടുംബത്തോടെ കാണാം.,Positive,Positive,Mixed_feelings
163,Endhu anelum ikka..  Ummah... kidilam,Positive,Negative,Negative
164,Powlichu,Positive,Negative,Positive
165,വീണ്ടു വീണ്ടു കണ്ടു രോമച്ചം വന്നവർ ഉണ്ടോ....,Positive,Positive,Positive
166,Jack Daniel ന് ശേഷം ദിലീപേട്ടൻ വീണ്ടും വരുന്നു. ഒപ്പം മലയാളത്തിന്റെ പ്രിയ സംവിധായകൻ സുഗീതും. This x mas will rock.,Positive,Positive,Positive
167,Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam,Positive,Positive,Mixed_feelings
168,Kalippe....   by katta lalettan fan,Positive,Negative,Positive
169,Poli oru rakshayum illa...  dileep ettan...,Positive,Negative,Negative
170,Licifer vannna ennenthe pooram vanu.....madhuraraja 6 manik thanne poyi......but l is loading...coming....minutes left,Positive,Mixed_feelings,Negative
171,ദിലീപേട്ടൻ വ്യത്യസ്ത വേഷങ്ങൾ ചെയ്യാറുണ്ട്. വീണ്ടും ഒരു പുതുമനിറഞ്ഞ വേഷം.  ജനപ്രീയ നായകൻ ഫാൻസ്‌ come,Positive,Positive,Positive
