sample_id,text,true_label,gemma_pred
50,പടം ഇറങ്ങിയിട്ട് 2 മാസം ആയിട്ടും ഇപ്പോഴും കേൾക്കുന്നു,Positive,INVALID
51,Tgf nu shesham Nalla moodulla mattoru malayala film aavum.,Positive,INVALID
52,മലയാളികൾ wait ചെയ്ത song ഒന്നും പറയാൻ ഇല്ല മമ്മുക്ക കലക്കി,Positive,INVALID
53,Trailer കാണുന്നേ മുൻപേ like അടിച്ചവർ ഇവടെ കമോണ്,Positive,INVALID
54,Entae jeevathil ithrayum pravishyam trailer kanda verae oru cinemayum illa,Positive,INVALID
55,"അങ്ങനെ മലയാള സിനിമയിലേക്ക്  ലക്ഷണമൊത്ത മറ്റൊരു ക്രൈം ത്രില്ലെർ സിനിമ കൂടെ, ഇതിലെ ഓരോ ഷോട്ടും നിഗുഢത നിറഞ്ഞതും പേടിപെടുത്തുന്നതുമാണ്",Positive,INVALID
56,Mohanlal fans like here .... Ettan maaasss aanu,Positive,INVALID
57,Enta ikka polichu   Kidu item  Ethu polikkum,Positive,INVALID
58,Ichaayn masss alaaa marana masss anuuuu polwiii,Positive,INVALID
59,നല്ല കട്ട ലോക്കൽ മൂവി  ആയിരിക്കും waiting,Positive,INVALID
60,Ella recordum theerkaan kazhiyatte ennaasamsikunnu...Enkil maathre e record marakaar release aavumbo thiruthaan saadhikku,Positive,INVALID
61,Bgm + ettan + dialogues + fight  = romanijification,Positive,INVALID
62,Mmale Thrissurile jedikale film..ith pwolikum tta,Positive,INVALID
63,E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu,Positive,INVALID
64,Poli trailer movie kanan kothi akunnu,Positive,INVALID
65,ലാലേട്ടാ പൊളിച്ചു ഏറെ നാൾ ആയിട് കാണാൻ കാത്തിരുന്ന ആ പഴയ ലാലേട്ടൻ ഈ ഓണം ഇട്ടിച്ചയാനോട് ഒപ്പം🤗🤗,Positive,INVALID
66,Nice...ikka mass   . All th bst #lalettan fan,Positive,INVALID
67,Lalettan kidu maazz .... .... Super.......,Positive,INVALID
68,MAMMOOKA FANSINTE ELLA VIDHA ASHAMSAKALUM NERUNNU...,Positive,INVALID
69,romancham ennokke paranja koranji pogum ....athukkum mele,Positive,INVALID
70,Ettan pwoli.. Engane abinayikunnu ethra cute ayyitte,Positive,INVALID
71,ചിന്ത പാളുന്ന കൊല്ലകൊല്ലി ഐറ്റം   മാമാങ്കത്തിൽ ക്ലാസ്സ്‌ ആയിരുന്ന ഇക്ക  ഷൈലോക്കിൽ ട്രിപ്പിൾ മാസിൽ,Positive,INVALID
72,Mammukka marana mass  Ikka fans like  Katta wi8 for mammangam,Positive,INVALID
73,ചാക്കോച്ചന്റെ ഒരു ഉഗ്രൻ തിരിച്ചുവരവാകട്ടെ ഈ ചിത്രം...കിടു trailer,Positive,INVALID
74,ഇൗ പിള്ളേരൊക്കെ പറയുവല്ലോ എന്തുവാ കൊലമാസ്സ്‌ അത് തന്നെ,Positive,INVALID
75,Nalla kidukkachii trailer... Ikka love uuu...,Positive,INVALID
76,മമ്മൂക്ക ഒരേ പൊളി... എജ്ജാതി എനർജി സ്ക്രീൻ പ്രെസൻസ്,Positive,INVALID
77,ഭവനെ... കൊല ഗാണ്ടിലെ ഇറുക്ക്... ഹഹ...കൊല്ലാമ വിടമാട്ടേൻ...   ന്റമ്മോ ജ്ജാതി ഡയലോഗ്,Positive,INVALID
78,മാർഗം  കളി   സൂപ്പർ,Positive,INVALID
79,ഇത് എപ്പ പൊളിച്ചൂന്ന് ചോദിച്ചാ പോരെkatta waiting...................,Positive,INVALID
80,inni Kanji chodichu Arum varandaa....Assalu Biriyani thanne Thannittund.         Lucifer,Positive,INVALID
81,Adaar item orungi....kaathirunnolu ini ball njngalde kayil aan....!!!,Positive,INVALID
82,Vere level ikka polikum. RAJA vere level aakum. Ikkaaaa,Positive,INVALID
83,Enne pole katta waiting ayi nikunavar adi oru,Positive,INVALID
84,ആദ്യത്തെ സംസാരം കേട്ടപ്പോ ഓർത്ത് കരിക്കിലെ പിള്ളേരും ഉണ്ടെന്ന്  സൗബിനിക്ക വാട്ട്‌ a ട്രാൻസ്ഫോർമേഷൻ മാൻ   കട്ട വെയ്റ്റിംഗ്   Ps: ഭാവന സ്റ്റുഡിയോസ്  പോത്തേട്ടൻ അറ്റെൻഷൻ ടു ഡീറ്റെയിൽസ് കിടുക്കാച്ചി.,Positive,INVALID
85,Sound pwoliii... ട്രൈലെർ ഒരു രക്ഷയുമില്ല.. 🤩🤩🤩🤩🤩🤩🤩,Positive,INVALID
86,ഭാവം കൊണ്ടും വേഷം കൊണ്ടും ഒരുപാട് ചിരിപ്പിച്ചിരുന്ന ആ പഴയ സലീം കുമാറിനെ വീണ്ടും കാണാൻ സാധിക്കുമെന്ന് പ്രതീക്ഷയുണ്ട്,Positive,INVALID
87,Lalettan ki jaiiiii..king of box office,Positive,INVALID
88,മമ്മൂക്ക ഡാൻസ് കളിക്കുന്നത് എന്തൊരു രസത്തോടെയാണ് തിയേറ്ററിൽ ആസ്വദിച്ചത്..എന്നും അതേ.... വല്ലാത്ത ഇഷ്ടമാണ് ഇദ്ദേഹത്തിന്റെ അഭിനയത്തോടുള്ള പാഷൻ കാണുമ്പോ  ഇപ്പോഴും അടിവരയിട്ട് പറയുന്നു ചരിത്രവേഷങ്ങളെ അതിന്റെ പൂർണ്ണതയിൽ എത്തിക്കാൻ ഇതിലും മികച്ച നടൻ നമുക്ക് വേറെയില്ല..  എന്ന് ഒരു കട്ട ലാലേട്ടൻ ഫാൻ  Nb:- (ഇദ്ദേഹത്തിന്റെ പ്രായത്തിൽ ജീവിച്ചിരിക്കുമോ എന്നുപോലും ഉറപ്പില്ലാത്തവരുടെ ഡീഗ്രേഡിങ് ആരും കാര്യമായി എടുക്കരുത്.. ),Positive,INVALID
89,Oru rakshayum illa..joli kazhin ksheenichirangiya enik ippo oru energy okke thonunu.. #Mamangam,Positive,INVALID
90,Kali brazilum(lalettan) Argentina ( mammookka)yum thammila.... Thee paarum.... Welcome mammookka....,Positive,INVALID
91,എന്തൊരു look എന്റമ്മച്ചി. കട്ട കലിപ്പ് look തന്നെ,Positive,INVALID
92,ഈ ലുക്കിൽ ഇക്കാന്റെ എൻട്രി ഒന്ന് ആലോചിച്ചു നോകിയെ ഉഫ് കട്ട വെയ്റ്റിംഗ്,Positive,INVALID
93,മമ്മൂക്ക മറ്റൊരു ഭാഷ മാസ്സായി പറയുമ്പോൾ കിട്ടുന്ന ഒരു ഫീൽ ഹോ അത് പറഞ്ഞരീക്കാൻ പറ്റില്ല FDFS തകർത്തിരിക്കും,Positive,INVALID
94,ഷിൻറെ ഒപ്പം വേറെയും രണ്ടുമൂന്നു പേരുണ്ട് അവരെ ആരും  കണ്ടില്ലേ... അവരെയും ഒന്ന് സപ്പോർട്ട് ചെയ്തോടെ...Feelgood  song,Positive,INVALID
95,Ee paattum kett urangaan oru sugam thanna...,Positive,INVALID
96,Eeee mothaline thakarkkan iny aarada ullathu,Positive,INVALID
97,Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.,Positive,INVALID
98,മമ്മൂക്ക   നമ്മുടെ എക്കാലത്തെയും സൂപ്പർ സ്റ്റാർ,Positive,INVALID
99,Vaan Trailer .... laleetta nigga Oru jinn Aanu kettoo.....mass voice,Positive,INVALID
100,സ്വാസികയ്ക്ക് മലയാള സിനിമയില്  ശക്തമായൊരു തിരിച്ചുവരവിന് ഈ സിനിമ വഴിയൊരുക്കട്ടെ......എല്ലാവിധ ആശംസകളും സ്വാസുവിനും  എല്ലാവര്ക്കും,Positive,INVALID
101,Hoooo.      Kilipoi,Positive,INVALID
102,152k views in 38 minutes 107k likes. Lalettan magic,Positive,INVALID
103,Ittimaniyil... LOVE und.... ACTION  illa....DRAMA und... Movie bore adipikilla..Poi.. Kandu.. Istapetu...,Positive,INVALID
104,Ettan fan aaanu but nallathu kandal nallathanu ennu thanne parayum.....ikka mass aaayittund ....ithu pwolikkum,Positive,INVALID
105,മരണം എന്ന മൂന്നക്ഷരത്തേ... പോരാട്ടം കൊണ്ട് ഭയപ്പെടുത്തിയ ചാവേർപടയുടെ വീരനായകന്റെ കഥ   ചാവേർപ്പടയുടെ മാമാങ്കം,Positive,INVALID
106,"Kalipp katta kalip polichu..,. I am waiting.....",Positive,INVALID
107,ലാലേട്ടൻ പൊളിച്ചു   ലാലേട്ടന്റെ കരിയറിലെ തന്നെ ഏറ്റവും മികച്ച ഒരു മൂവി ആണ് എന്ന് തോനുന്നു  ബിഗ് ബ്രദർ    മാസ്സ് fight & Mass ഡയലോഗ്സ്   ലാലേട്ടൻ ഇസ്‌തം,Positive,INVALID
108,കാത്തിരിപ്പിന്റെ സുഖം അതൊന്ന് വേറെ തന്നെയാ     Katta waitting @ഇട്ടിമാണി,Positive,INVALID
109,Thakarthutto...  Onnalla orupaadu kaaranangalaa...  ith thakarkkum...,Positive,INVALID
110,Njnum oru fanaaaaa Prithvirajinteyum mammokkayudeyum lalettanteyum okkeeee......,Positive,INVALID
111,Simple yet beautiful  what a film എല്ലാരും അടിപൊളി ആയി.ഇങ്ങനെ വേണം സിനിമ.    Long way to go Shane,Positive,INVALID
112,Ente ponnu ettaaa ningalu njngale romancham varuthichu kollum,Positive,INVALID
113,Visual treat tanne aayirikum film ennu e song katti thannu,Positive,INVALID
114,Kidu trailer  Ikka fans like Adi,Positive,INVALID
115,kaalame ini pirakkumoo ithpoloru vismayam   Mamukka___,Positive,INVALID
116,ഒരു അപേക്ഷ ഉള്ളു എല്ലാവരോടും  നമ്മുടെ ഇക്ക ഫാൻസ് ഒരു കുഴപ്പും അത് തന്നെയാണ്  അടുത്തത് വരുമ്പോൾ കൈയിൽ ഇരിക്കുന്നത് കളഞ്ഞിട്ട് പോകരുത്  #shylock സമയം നമ്മുക്ക് ഉണ്ട് അതുകൊണ്ട് തന്നെ promotion വേണ്ട എന്ന് അല്ല  വേണം എന്നാലും ക്രിസ്മസ് അവധി ആണ് വരുന്നത് മാമാങ്കം വിട്ട് പോകല്ലെ കട്ടക്ക് നിൽക്കണം വമ്പൻ ഹിറ്റ് ആകണം മാമാങ്കം  നമ്മളാണ് എല്ലാത്തിനും ദേവനും  അസുരനും എല്ലാ   മാമാങ്കം,Positive,INVALID
117,Ettante padathin positive  kittya pinne oruthanum mutteett karyalla. Muttolamethan polum pattilla,Positive,INVALID
118,nyzzzz work,Positive,INVALID
119,"ഈ സിനിമയിലെ ഓരൊ കഥാപാത്രവും നമ്മുടെയൊക്കെ ഉള്ളിലുണ്ട് ,അത് കൊണ്ടാണ് പടം അത്രയ്ക്ക്  ഇഷടപ്പെട്ടത്",Positive,INVALID
120,രോമാഞ്ചം അൺലിമിറ്റഡ്.. ട്രൈലെർ പോലെ തന്നെ മൂവിയും അടിപൊളിയാവട്ടെ.. ആശംസകൾ,Positive,INVALID
121,Malayala cinemayude charithram mattan deric abraham june 16 ethum,Positive,INVALID
122,ഈ മ്യൂസിക് Compos ചെയ്തവന്റെ കഴിവ് മനസ്സിലാക്കണമെങ്കിൽ 1:30 ശ്രദ്ധിച്ചാൽ മതി ഒരു വെറൈറ്റി മിക്സ്‌ കയറ്റിയേക്കുന്നത് കാണാം... Sushin shyam,Positive,INVALID
123,Vineeth ettan produce cheyyunna   film vere enth nokana,Positive,INVALID
124,ചെക്കൻ അടുത്ത natural acter ആവുന്നു തോനുന്നുണ്ടോ..  ഫഹദിനും /സൗബിനും /ഷൈൻ നീഗത്തിനു ശേഷം nxt natural actre,Positive,INVALID
125,Laletta kalakki.lallettan fanayalum Ikka fanayalam .Kandal Romanjam Varum .adutha level trailer. Njan like adichu.onnilparam Kandavar itil like adikku.,Positive,INVALID
126,Valiya perunnal  shane nigam ishtam,Positive,INVALID
127,Adipoli mass padam aarikkum. Ikkede alle padam,Positive,INVALID
128,Nalla oru film anuuu ellavarum poyi kanu....,Positive,INVALID
129,ഈ  സിനിമ  സൂപ്പർ  ആയിരിക്കും മഞ്ജു ചേച്ചി  നിങ്ങൾ  ഒരു  സംഭവം  ആണ്  കെട്ടോ  ചേച്ചി  പൊളിച്ചു  അടുക്കി  ഈ സിനിമ  തീയറ്ററിൽ വരാൻ കാത്തിരിക്കുന്നു,Positive,INVALID
130,LAlettanu cheyyankaziunna role mammookakum patilla athupole thanne mammooka cheyunna kathapathram Lalettanum patiyennuvarilla. ethokke nadanmaar inium vannalum manasil kuthikurichittekunna randu perukalaanu Lalettanteum Mammookaudeum,Positive,INVALID
131,Inn ni8 full repeat adich kanan ponavar ivide like adicholu,Positive,INVALID
132,Petrol vila karanam raja cycilil. polichu!!!!!,Positive,INVALID
133,That laugh ente പൊന്നു ഇക്കാ powlichu,Positive,INVALID
134,ലാലേട്ടൻ മാർഗംകളി പൊളിച്ചു........ ishtapettavar like adicheaa🤩🤩,Positive,INVALID
135,മാസ്സ് എന്നൊക്കെ പറഞ്ഞാൽ ഇതാണ് മാസ്..ഇക്കണ്ട പടം എല്ലാം സൂപ്പർ സ്റ്റാറുകളുടെയും നായകന്മാരുടെയും പടം വച്ചു പോസ്റ്ററടിക്കുമ്പോ ഇവിടെ ഒരെണ്ണം ഡയറക്ടറുടെ പേര് വച്ചു അടിച്ചു ഇറക്കിയേക്കുന്നു.. മാസ്സ്..മാസ്സ്...കൊലാമാസ്സ്...,Positive,INVALID
136,kalakki Kalakki. Onnum parayan illa,Positive,INVALID
137,എന്റെ  പൊന്നോ  കണ്ണെടുക്കാൻ  കഴിയുനില്ല,Positive,INVALID
138,പുതു താരകങ്ങളിലെ നന്മയുള്ള മാണിക്യ കല്ല് .... രാജ്യാന്തരവേദികളിൽ മികച്ച പ്രകടനം കാഴ്ച്ചവെച്ച മൂത്തോനിലെ നിവിന്റെ അഭിനയ മികവ് കാണാനായി കാത്തിരിക്കുന്നവർ ഇവിടെ കമോൺ,Positive,INVALID
139,ഈ പാട്ട് തരുന്ന Feel പറഞ്ഞറിയിക്കാൻ പറ്റില്ല sushin shyam excellent work.  Soorajettan anne amie superb singing,Positive,INVALID
140,Pwolich ikka love from ettan fan,Positive,INVALID
141,Uff.... ingnethe oru trailer malayalam industryil thanne vannukanilla. Oru rakshayum illa adaar item thanne aann മമ്മൂക്ക,Positive,INVALID
142,പടം അടിപൊളി കിടു അടി മാസ്സ്,Positive,INVALID
143,ടീസറിനെക്കാളും ട്രൈലറിനെക്കാളും വിഡിയോ സോങ് ഇഷ്ട്ടപെട്ടവർ ഇവിടെ ലൈക്‌ ഈ വർഷത്തെ ഓണകപ്പ് ഇട്ടിച്ചായനും പിള്ളേരും ഇങ്ങെടുത്തു എന്ന് പറഞ്ഞേക്ക്,Positive,INVALID
144,Mammukka oru rakshayilla     NEXT 200 CRORES IN MOLLYWOOD CINEMA,Positive,INVALID
145,വീണ്ടും ദിലീപ് ഏട്ടൻ.. കൂടെ സുഗീതും  #മാമാങ്കം #ബിഗ് ബ്രദർ  #My Santa തീയേറ്ററിൽ ഇനി ഹൗസ്ഫുൾ കാലം🥰,Positive,INVALID
146,Nalla Padama Kandavar maathram like cheyyu,Positive,INVALID
147,ഇത് കൊള്ളാം...  തീ പാറും,Positive,INVALID
148,ഇട്ടിച്ചനും പിള്ളേരും ഈ ഓണം ഇങ്ങെടുക്കുവാ....   കട്ട ലാലേട്ടൻ ഫാൻസ് ലൈക്ക് അടിക്ക്,Positive,INVALID
149,"ഏത് മ്മടെ 1983,ആക്ഷൻ hero ബിജു, പൂമരം എടുത്ത എബ്രിഡ് ഷൈനോ  ഞെട്ടിച്ചു",Positive,INVALID
150,കിങ് മേക്കർ ജോഷി സാറിന്റെ വൻ തിരിച്ചുവരവാകട്ടെ ഈ ചിത്രം എന്നാശംസിക്കുന്നു,Positive,INVALID
151,"Comedy  king ,ഉം കുട്ടികളും ഈ പടം തകർക്കും,,,!!",Positive,INVALID
152,Aadhyamayi midhun machande oru film enik kananam enna oru thonnal indakya film,Positive,INVALID
153,ഒരു കിടുക്കാച്ചി കോമഡി  ഫാമിലി മൂവി loading,Positive,INVALID
154,Oru mass Dialogue polum illathirakki mass kattan pona movie,Positive,INVALID
155,ഒരു രക്ഷയുല്ലാട്ടോ...മാരകം... മാസ്മരികം... ജോഷി തിരിച്ചു വന്നു ആശാനേ...🤤🤤🤤,Positive,INVALID
156,എജ്ജാതി പടം <3  ഫസ്റ്റ് ഡേ കണ്ടവരുണ്ടോ ?,Positive,INVALID
157,Oru narasimham usthad okke orumich kanda oru sughm kittyy... kuliroodu kuliru... laaleettaa... raju... no rekshaa... iniyum kaanan thonnunnavr like,Positive,INVALID
158,50 സെക്കന്റ് മുതല്‍ ഉള്ള ഡയലോഗ് ഇനി വണ്ടി ഭ്രാന്തന്‍മാരുടെ സ്റ്റാറ്റസായിരിക്കും,Positive,INVALID
159,കാണുന്നതിന് മുൻപേ ലൈക് ചെയ്തത് ഞാൻ മാത്രമാണോ.. 🤩... ലാലേട്ടാ,Positive,INVALID
160,Padam kndit vndum trailer kanumpo veror feel,Positive,INVALID
161,Marana mass kettitellu. Eppam kandu.  Prithi & lalettan combo polikuumm,Positive,INVALID
162,ഇട്ടി കണ്ടു. നല്ല പടം. കുറച്ചു ലാഗ് ഉണ്ട്. ഒരു ഫൈറ്റ് ചേർക്കമായിരുന്നു. ഒരുപാട് ചിരിക്കാൻ ഉണ്ട്. കുറച്ചു A കോമഡി ഉണ്ട്. പക്ഷെ കുടുംബത്തോടെ കാണാം.,Positive,INVALID
163,Endhu anelum ikka..  Ummah... kidilam,Positive,INVALID
164,Powlichu,Positive,INVALID
165,വീണ്ടു വീണ്ടു കണ്ടു രോമച്ചം വന്നവർ ഉണ്ടോ....,Positive,INVALID
166,Jack Daniel ന് ശേഷം ദിലീപേട്ടൻ വീണ്ടും വരുന്നു. ഒപ്പം മലയാളത്തിന്റെ പ്രിയ സംവിധായകൻ സുഗീതും. This x mas will rock.,Positive,INVALID
167,Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam,Positive,INVALID
168,Kalippe....   by katta lalettan fan,Positive,INVALID
169,Poli oru rakshayum illa...  dileep ettan...,Positive,INVALID
170,Licifer vannna ennenthe pooram vanu.....madhuraraja 6 manik thanne poyi......but l is loading...coming....minutes left,Positive,INVALID
171,ദിലീപേട്ടൻ വ്യത്യസ്ത വേഷങ്ങൾ ചെയ്യാറുണ്ട്. വീണ്ടും ഒരു പുതുമനിറഞ്ഞ വേഷം.  ജനപ്രീയ നായകൻ ഫാൻസ്‌ come,Positive,INVALID
172,Mass entry ekka,Positive,INVALID
173,പൊളി സ്റ്റെപ്..... ufff തിയേറ്റർ അങ്ങ് കുലുങ്ങി ഇത് വന്നപ്പോ,Positive,INVALID
174,ദാസേട്ടൻ വോയിസ്‌  മമ്മൂക്ക സ്ക്രീൻ പ്രെസെൻസ്,Positive,INVALID
175,അന്നും ഇന്നും  കട്ട മമ്മൂക്ക ഫാൻസ് ആരുണ്ട്,Positive,INVALID
176,സുരാജ്‌ ജയിക്കേണം എന്നാണ് എന്റെ ആഗ്രഹം,Positive,INVALID
177,LALETTAAA POLICHU  100 CR KOYYUM,Positive,INVALID
178,Nalloru cenima anubhavam malayalikalk sammanikunne karyam therrchayayi,Positive,INVALID
179,Trailer Valare ishtai,Positive,INVALID
180,Late aayi vannalum latest aayi varananu A10 nu istam latest aayi tanne varum  Lalettan,Positive,INVALID
181,Ithaan ikkane megaaastar aakith Ikka uyirrrr,Positive,INVALID
182,ഇതൊരു പൊളി പൊളിക്കും.. എജ്ജാതി കാസ്റ്റിംഗ്. Editing bgm direction art ഒരു രക്ഷേം ഇല്ലാ.. joshy sir strikes with a tsunami.,Positive,INVALID
