sample_id,text,true_label,llama_pred,mistral_pred
52,Rapistukallkk theertha theerathe cinemem kanjaavennum paranj thalliya payyanu velakkum.. aaaaha anthass,Negative,Negative,Negative
53,Mukuti avideyum evidayum nookitti kariyam yilla nithe munchiyil thaneindi .......onnu sherikum nookikoode pennumpillae🤣🤣🤣,Negative,Positive,Mixed_feelings
54,1k dislikes Ella dislike pannikalkum endhe naduviral namskaram,Negative,Negative,Negative
55,"ഉള്ള കാര്യം പറയാമല്ലോ.. ഊമ്പിയ പാട്ട്..   ഇളയരാജ, വിദ്യാസാഗർജി  നിങ്ങളെയൊക്കെ ഇവിടെ വല്ലാണ്ട് മിസ്സ് ചെയ്യുന്നു..",Negative,Negative,Mixed_feelings
56,ഞാൻ വട കിട്ടുമെന്ന് കേട്ട് വന്നതാണ്,Negative,Mixed_feelings,Mixed_feelings
57,Aarade kayyil ninnum cash vangiyado ahalia hospital groupine patty anavashyam paranjath Ahalians da,Negative,Mixed_feelings,Negative
58,Tovino machane fight scene poratto... eniyum valaraan undu,Negative,Positive,Positive
59,enth moonjiya padam oombiya kadha parachil avante konathile padam,Negative,Mixed_feelings,Negative
60,E type cinemakal allatha kuracchu puthumayulla padangal konduvannooda ?.. kashtam .   Saghav  CIA  Aanandam  Oru Mexican aparatha    ithepollula Ora type padangal kora aayilla ?..,Negative,Negative,Negative
61,Cinema muyuvan manassilayi ini padam kaanano,Negative,Positive,Positive
62,മുക്കിൽ  ഇരിക്കുന്നത്  പിന്നെ വാണകുറ്റി ആണോ,Negative,Negative,Negative
63,Aahaa nalla adipoli chali teaser .....,Negative,Positive,Positive
64,Dislike adichavan maarude nenjathu irikkatte ente like THENDIKAL,Negative,Mixed_feelings,Negative
65,Nala movie aayirunu..ottum flexible alaatha lalettann edhin onum patilaa..meesha pirii role thanaal ok,Negative,Mixed_feelings,Negative
66,വീട്ടിൽ ഇരിക്കാൻ സമയം ആയി കേട്ട് തടിയാ,Negative,Negative,Negative
67,Kure per dislike adich kuru pottikkunnund,Negative,Negative,Negative
68,"എന്തോന്ന് വാസു അണ്ണാ ഇത്.. പെട്ടിയും എടുത്ത് വല്ലോ ആന്ധ്രയില്ലോ തമിഴ്നാട്ടില്ലോ പോ., വെറുതേ ഇക്കയെ നാറ്റിക്കാൻ",Negative,Negative,Negative
69,ഇത് നശിപ്പിക്കും.. എന്ത് ഡയലോഗ്‌ ഇത് ഇങ്ങനെ പറയണോ മരക്കാര്..... വീണ്ടും tholviyakumallo.. പ്രിയേട്ടാ ഇങ്ങള്,Negative,Negative,Negative
70,"ഇത് എന്ത് ഭാഷ,  മലബാറിൽ ഇങ്ങനൊരു സ്ലാങ് ഇല്ല ഭായ്,  എന്താണ് mr പ്രിയദർശൻ ഈ പക്കേങ്കില്",Negative,Negative,Negative
71,ആ മൈദ പൊടി കുടഞ്ഞിട്ടുള്ള ആ നിൽപ്...    Bad choreography,Negative,Negative,Negative
72,Oru A padathinte peru pole und.,Negative,Negative,Negative
73,കേരളത്തിലെ കുറച്ച് ചെറുപ്പക്കാര പിള്ളർ ഉള്ളത് കൊണ്ട് പിടിച്ചു നിൽക്കുന്നു മോഹൻലാൽ സാർ.....,Negative,Positive,Mixed_feelings
74,ഈ പാട്ട് ഡിസ്‌ലൈക് ചെയ്തവരുടെ വീട്ടുകാരെ സമ്മതിക്കണം .....BIG SALUTE,Negative,Mixed_feelings,Negative
75,"Ethonnum mohanlalnu cherilla, ethu nammude mamukake pattu",Negative,Positive,Negative
76,ശ്വാസം മുട്ടുന്നു ഒരു ഗ്ലാസ്‌ വെള്ളം  കൊടുക്കൂ  പ്ലീസ്,Negative,Negative,Negative
77,മൂക്കുത്തി കണ്ടിലെ പോയി തപ്പിനോക്ക് 🤦. ഒരു ഫീലും ഇല്ലാത്ത song,Negative,Negative,Negative
78,Eth thegaya ee katunath  pattuna panik poya mathile,Negative,Negative,Negative
79,ഒരു fan made teaser ആണെന്ന് തോന്നിയത് എനിക്കു മാത്രമാണോ...  ബിജിഎം പോരാ...,Negative,Negative,Mixed_feelings
80,ടീസർ ഇറങ്ങുന്നതിനു രണ്ടു ദിവസം മുൻപേ dislike. എന്ത് പേടിയാണ് മോനെ,Negative,Negative,Negative
81,പുത്തൻ പണം എന്ന സിനിമ പോലെ ആകാതിരുന്നാൽ മതി ആകെയുള്ള പ്രതീക്ഷ മമ്മൂക്ക ആൻഡ് അജയ് വാസുദേവ്                               മകനെ പടം കാണാതെ വിടമാട്ടെ,Mixed_feelings,Mixed_feelings,Negative
82,"മേരിക്കുണ്ടൊരു കുഞ്ഞാടു, റൊമൻസ് ഒക്കെ ഓർമ്മവന്നു",Mixed_feelings,Mixed_feelings,Positive
83,Friendship dayikk oru cake medichu kodukk #fresh fresh...,Mixed_feelings,Positive,Positive
84,Oru variety agotu feel cheyanila full mass item avum.. onnum kanand jayettan eragila,Mixed_feelings,Positive,Positive
85,Mamangam Trailer poli aarnnu pakshe padam  Big Brother trailer kollila but padam polikum,Mixed_feelings,Mixed_feelings,Mixed_feelings
86,ട്രൈലർ കണ്ടപ്പോൾ രാക്ഷസൻ ആണ് ഓർമ വന്നത്,Mixed_feelings,Negative,Negative
87,Realistic padam kandu maduthu eni korachu mass aakam,Mixed_feelings,Positive,Positive
88,വിനീത് നല്ല പാട്ട് ആണ് നല്ല യൂത്തിന്റെ പൾസ്‌ അറിയുന്ന ഒന്നാന്തരം ഡിറക്ടറ് കൂടി ആണ്.... അഭിനയം ഇത്ര ലോക വെറുപ്പിക്കൽ കൂടി ആണ്...,Mixed_feelings,Mixed_feelings,Mixed_feelings
89,Bro ... ithaaan mass ... Raaja 🤣🤣🤪,Mixed_feelings,Positive,Positive
90,Enn a polle ethraper  prarthikunnu ettante jodi  manju avalle enn,Mixed_feelings,Negative,Negative
91,Nayikka Oru karyam ilya BT iniya was awesome dance,Mixed_feelings,Positive,Positive
92,Evideyokkeyo oru Kasaba and Idi feel,Mixed_feelings,Mixed_feelings,Mixed_feelings
93,Bgm പലയിടത്തും  Ratsasan Movie Same,Mixed_feelings,Positive,Positive
94,Dislike addikkan matram entha ithinu koyappam ennu mansilavunnilla,Mixed_feelings,Negative,Negative
95,രാക്ഷസൻ സിനിമയുടെ bgm മായി ചെറിയ ഒരു സാമ്യം,Mixed_feelings,Mixed_feelings,Mixed_feelings
96,Dialogil kallanmaar ennathinu pakaram chekkuthaanmaar ennakiyirunnenkil kurachu koodi nannayirunnene ennu enikku mathram aano thonniyathu,Mixed_feelings,Negative,Negative
97,Prithwirajinthe samayam shariyalla ippo ella cinimayum parajayappedunnu ithenkilum hitavatte,Mixed_feelings,Mixed_feelings,Negative
98,Padam muzhuvan trailer il thanne indalla,Mixed_feelings,Mixed_feelings,Negative
99,Trilar kanditt padam. Valiya pratheeksha illaa,Mixed_feelings,Negative,Negative
100,Trailer Editing പോര.. ഒരു നല്ല സിനിമ ആകട്ടെ..,Mixed_feelings,Positive,Mixed_feelings
